TYPE,WEIGHT_G,LENGTH_CM,CIRCUM_CM,CIRCUM_ACTUAL_CM,RODENT,PICTURE_ID,ADJUSTED_ID,MERGED ID,ONEKK_LENGTH,ONEKK_WIDTH,ONEKK_AREA_MM2
PURPLE JAPANESE,109.6,19,15,9.5,,1,1,1,206.4039687,51.92371797,6089.358928
PURPLE JAPANESE,134.9,17,18,12.5,,2,2,2,187.948042,48.42247317,6533.454468
PURPLE JAPANESE,246.8,12,24,18.5,,3,3,3,144.7834566,72.65200421,7869.077684
PURPLE JAPANESE,403.7,19,24,18.5,rodent/Harvest,4,4,4,210.0414537,103.2919412,13189.60075
PURPLE JAPANESE,170.2,23,16,10.5,,5,5,5,252.6644844,70.25265982,8441.057398
PURPLE JAPANESE,59,16,15,9.5,,6,6,6,177.408881,33.11197088,3751.163698
PURPLE JAPANESE,193.5,17,21,15.5,,7,7,7,186.8442559,56.90943431,7772.683027
PURPLE JAPANESE,147.7,27,14,8.5,,8,8,8,281.6542097,63.89818897,8401.523966
PURPLE JAPANESE,121.5,17,22,16.5,,9,9,9,229.5454681,52.64181036,6104.63479
PURPLE JAPANESE,107.1,18,16,10.5,,10,10,10,189.3943003,38.98154463,5269.641157
PURPLE JAPANESE,117.1,18,16,10.5,,11,11,11,191.0986333,43.31722515,5919.997262
PURPLE JAPANESE,108.5,20,15,9.5,,12,12,12,216.4458015,46.75081267,5898.13919
PURPLE JAPANESE,160.3,17,17,11.5,,13,13,13,197.1668268,56.43183888,7157.322784
PURPLE JAPANESE,58.7,10,14.5,9,,14,14,14,117.7746965,35.31525774,3264.718299
PURPLE JAPANESE,62.6,21,14.5,9,,15,15,15,249.1420031,37.9266481,4615.57931
PURPLE JAPANESE,166.1,19,17,11.5,,16,16,16,215.2791709,54.25494072,7614.662521
PURPLE JAPANESE,66.6,7,19,13.5,,17,17,17,134.4647831,68.60220318,2813.271089
PURPLE JAPANESE,173.9,18,21,15.5,,18,18,18,198.3840935,69.62682886,8122.091898
PURPLE JAPANESE,118.2,19,15.5,10,,19,19,19,210.3675673,40.44479652,6086.017803
PURPLE JAPANESE,60.3,11,14,8.5,,20,20,20,122.6149473,32.67173498,3205.150169
PURPLE JAPANESE,147.8,11,20,14.5,,21,21,21,122.1840135,70.66716705,5725.480349
PURPLE JAPANESE,86.5,17,15,9.5,,22,22,22,182.0229926,36.2287513,4602.300296
PURPLE JAPANESE,67.2,18,12.5,7,,23,23,23,186.257547,47.8557262,4337.783279
PURPLE JAPANESE,48.5,20,12,6.5,,24,24,24,221.9461097,34.12520105,3820.567069
PURPLE JAPANESE,39.7,13,14,8.5,,25,25,25,141.7583834,32.75560646,2607.250322
PURPLE JAPANESE,139.4,15,17,11.5,,26,26,26,166.7856632,51.683276,6059.448491
PURPLE JAPANESE,60.3,15,14,8.5,,27,27,27,173.4727098,69.14890673,3782.769613
PURPLE JAPANESE,67.5,14,15,9.5,,28,28,28,152.2168687,37.29002357,3864.495528
PURPLE JAPANESE,56,16,12.5,7,,29,29,29,192.2833886,35.41370928,3740.603402
PURPLE JAPANESE,34.6,9,15,9.5,,30,30,30,105.5352815,34.47040195,2051.839686
PURPLE JAPANESE,31.4,12,12,6.5,,31,31,31,132.7638084,25.97690966,2339.212651
PURPLE JAPANESE,44.5,15,12,6.5,,32,32,32,178.2635464,59.07350175,3487.979684
PURPLE JAPANESE,178.7,15,21,15.5,,33,33,33,159.3695195,58.77930552,6868.705878
PURPLE JAPANESE,62.5,11,15,9.5,,34,34,34,127.4968852,40.89349109,3337.790789
PURPLE JAPANESE,61,11,15,9.5,,35,35,35,124.0126751,39.22792521,3191.029469
PURPLE JAPANESE,128.5,13,19,13.5,,36,36,36,144.2916518,53.36021057,5561.867186
PURPLE JAPANESE,64.9,15,15,9.5,,37,37,37,171.5567096,35.09320322,3940.569966
PURPLE JAPANESE,92,10,19.5,14,,38,38,38,105.5645011,54.77608137,4041.535428
PURPLE JAPANESE,69.7,9.5,17,11.5,,39,39,39,106.5959269,43.52861432,3347.744004
PURPLE JAPANESE,56.5,17.5,12,6.5,,40,40,40,184.7647841,43.16151821,3893.228155
PURPLE JAPANESE,69.1,6,20,14.5,damaged,41,41,41,68.0625968,55.76188449,2823.530696
PURPLE JAPANESE,371.2,14,28,22.5,,42,42,42,169.0849537,86.50526158,10753.28174
PURPLE JAPANESE,141.5,25,14,8.5,,43,43,43,282.0699754,53.87981049,8296.66553
PURPLE JAPANESE,152.3,20,16,10.5,,44,44,44,221.5269411,64.80448458,7360.917246
PURPLE JAPANESE,83.6,17,14.5,9,,45,45,45,182.9200108,48.95351003,5016.84491
PURPLE JAPANESE,99.9,12,17,11.5,,46,46,46,132.6680873,43.20271823,4681.904974
PURPLE JAPANESE,63.5,15,15,9.5,,47,47,47,156.9513146,40.33232612,3685.927447
PURPLE JAPANESE,69.4,12,17,11.5,,48,48,48,146.4088279,42.57243441,3717.62759
PURPLE JAPANESE,76.1,16,15,9.5,,49,49,49,178.8590142,35.66273324,4307.878493
PURPLE JAPANESE,171,16,18.5,13,,50,50,50,186.930876,50.68102596,7399.106137
PURPLE JAPANESE,162.3,18,19,13.5,,51,51,51,194.2926266,52.05833108,6786.994802
PURPLE JAPANESE,84.1,17,14.5,9,,52,52,52,182.2940436,41.847209,4746.656009
PURPLE JAPANESE,69.3,16,13,7.5,,53,53,53,183.2954899,45.22738191,4226.522477
PURPLE JAPANESE,37.4,18,11,5.5,,54,54,54,187.6510593,45.57001273,3219.661701
PURPLE JAPANESE,47.2,14,12,6.5,,55,55,55,146.3223397,39.78164482,3308.29187
PURPLE JAPANESE,32.6,17,11,5.5,,56,56,56,182.3624341,28.93076537,2811.131607
PURPLE JAPANESE,30,21,11,5.5,,57,57,57,223.7441023,26.03901407,2957.933329
PURPLE JAPANESE,34.7,17,12,6.5,,58,58,58,173.5102707,27.92865186,2781.199374
PURPLE JAPANESE,43.6,14,14,8.5,,59,59,59,152.6055373,32.59575188,3031.485883
PURPLE JAPANESE,83.3,16,15.5,10,,60,60,60,167.9479147,41.22942926,4720.382674
PURPLE JAPANESE,147.3,22,17,11.5,,61,61,61,233.3299018,47.07394229,6920.75847
PURPLE JAPANESE,156.8,20.5,16.5,11,,62,62,62,222.9602698,67.83811841,7483.07196
PURPLE JAPANESE,68,16.5,16,10.5,,63,63,63,173.7782362,37.76828077,4164.799985
PURPLE JAPANESE,46,16.5,11.5,6,,64,64,64,170.3946091,33.47707913,3256.331217
PURPLE JAPANESE,40.7,17,11.5,6,,65,65,65,179.5072601,43.73739484,3302.390965
BEAUREGARD G 2020  – BLACK BOX GENEVA,865,23,32,26.5,,B1,B01,B01,293.4873211,111.2610173,23848.9731
BEAUREGARD G 2020  – BLACK BOX GENEVA,701,23,30.5,25,,B2,B02,B02,269.548658,105.6382204,18588.79029
BEAUREGARD G 2020  – BLACK BOX GENEVA,411,23,25,19.5,,B3,B03,B03,245.8588223,70.91287175,12953.37893
BEAUREGARD G 2020  – BLACK BOX GENEVA,633.8,22,29,23.5,,B4,B04,B04,239.9875412,94.33312727,17618.51478
BEAUREGARD G 2020  – BLACK BOX GENEVA,413.7,22,24.5,19,,B5,B05,B05,259.089423,72.14036452,13246.10799
BEAUREGARD G 2020  – BLACK BOX GENEVA,305,24,22.5,17,,B6,B06,B06,265.0327724,66.06643847,11806.65108
BEAUREGARD G 2020  – BLACK BOX GENEVA,342.5,22,22.5,17,,B7,B07,B07,240.2767335,64.02630943,11826.91044
BEAUREGARD G 2020  – BLACK BOX GENEVA,62,20,13,7.5,,B8,B08,B08,212.5156296,39.76947885,4183.340453
BEAUREGARD G 2020  – BLACK BOX GENEVA,100.8,16,16.5,11,,B9,B09,B09,172.4798898,65.70273257,5057.503529
BEAUREGARD G 2020  – BLACK BOX GENEVA,66.2,13,14,8.5,,B10,B10,B10,140.2737812,47.82098358,3631.781238
BEAUREGARD G 2020  – BLACK BOX GENEVA,188.1,13,22,16.5,,B11,B11,B11,163.98497,58.83989115,6603.136299
BEAUREGARD G 2020  – BLACK BOX GENEVA,40.6,11,13,7.5,,B12,B12,B12,109.4563386,37.3031561,2417.782221
BEAUREGARD G 2020  – BLACK BOX GENEVA,125.5,24,19,13.5,,B13,B13,B13,256.8702846,57.72011944,6567.720577
BEAUREGARD G 2020  – BLACK BOX GENEVA,227.7,9.5,25,19.5,,B14,B14,B14,110.657954,92.21178981,7158.007627
BEAUREGARD G 2020  – BLACK BOX GENEVA,114.5,16,19,13.5,,B15,B15,B15,179.3950184,47.4032611,4982.504945
BEAUREGARD G 2020  – BLACK BOX GENEVA,167.1,21,17,11.5,,B16,B16,B16,233.2998419,50.3429618,7715.200515
BEAUREGARD G 2020  – BLACK BOX GENEVA,275.4,23,19,13.5,,B17,B17,B17,238.8241634,78.75834081,11192.01007
BEAUREGARD G 2020  – BLACK BOX GENEVA,242,14,23,17.5,,B18,B18,B18,156.4909557,68.20144603,7732.776687
BEAUREGARD G 2020  – BLACK BOX GENEVA,234.6,20,20,14.5,,B19,B19,B19,209.5267627,56.55891715,8647.327553
BEAUREGARD G 2020  – BLACK BOX GENEVA,340.4,23,22,16.5,,B20,B20,B20,249.2071644,62.23663508,11482.3994
BEAUREGARD G 2020  – BLACK BOX GENEVA,93.6,18,15,9.5,,B21,B21,B21,194.679263,39.14445451,4900.950874
BEAUREGARD G 2020  – BLACK BOX GENEVA,115.5,17,17.5,12,,B22,B22,B22,212.6707913,44.17116481,5403.444543
BEAUREGARD G 2020  – BLACK BOX GENEVA,218.2,23,20,14.5,,B23,B23,B23,241.646216,76.54778105,8926.043525
BEAUREGARD G 2020  – BLACK BOX GENEVA,223.3,19,20,14.5,,B24,B24,B24,203.9249173,60.50165629,8560.321472
BEAUREGARD G 2020  – BLACK BOX GENEVA,277,23,20.5,15,,B25,B25,B25,259.6761026,71.07168105,10571.27692
BEAUREGARD G 2020  – BLACK BOX GENEVA,357.2,19,25,19.5,,B26,B26,B26,209.6595954,75.6569553,11396.97085
BEAUREGARD G 2020  – BLACK BOX GENEVA,173.2,15,21,15.5,,B27,B27,B27,159.4719985,55.40846668,6241.755589
BEAUREGARD G 2020  – BLACK BOX GENEVA,203.8,19,20,14.5,,B28,B28,B28,196.7173162,53.13934299,7760.101163
BEAUREGARD G 2020  – BLACK BOX GENEVA,183.4,18,19,13.5,,B29,B29,B29,184.5497605,57.04908264,7553.683969
BEAUREGARD G 2020  – BLACK BOX GENEVA,616.9,24,28,22.5,,B30,B30,B30,275.9087618,97.48170733,18350
BEAUREGARD G 2020  – BLACK BOX GENEVA,395.7,25,23,17.5,,B31,B31,B31,255.3943806,68.18215439,12461.3968
BEAUREGARD G 2020  – BLACK BOX GENEVA,192.3,20,18.5,13,,B32,B32,B32,216.352471,59.29962733,8119.454866
BEAUREGARD G 2020  – BLACK BOX GENEVA,231.2,23,20,14.5,,B33,B33,B33,247.6932624,56.04278273,9533.884023
BEAUREGARD G 2020  – BLACK BOX GENEVA,73.6,16,14,8.5,,B34,B34,B34,166.2681044,32.1310411,3940.672353
BEAUREGARD G 2020  – BLACK BOX GENEVA,126.6,16,17.5,12,,B35,B35,B35,183.7118177,48.70706801,5667.09199
BEAUREGARD G 2020  – BLACK BOX GENEVA,49.7,8,15,9.5,,B36,B36,B36,142.2254346,56.63248211,2708.94966
BEAUREGARD G 2020  – BLACK BOX GENEVA",51.3,13,15.5,10,,B37,B37,B37,198.7007623,32.55168179,3159.725291
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,257.2,18.5,22,16.5,,E1,E01,E01,195.4623568,66.0846685,9463.317565
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,894,20,39,33.5,,E2,E02,E02,280.8127344,137.6987885,22972.8786
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,598,21,30.5,25,,E3,E03,E03,245.325178,103.6290891,16910.29964
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,361.7,20,25,19.5,,E4,E04,E04,304.0652132,93.96782058,11543.41723
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,216.9,13,22,16.5,,E5,E05,E05,167.786648,100.8547976,9229.684092
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,267.4,23,20,14.5,,E6,E06,E06,247.2613952,66.99361001,10092.41327
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,289.7,20,22,16.5,,E7,E07,E07,215.7133079,66.34287834,10195.18989
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,158.2,19.5,18,12.5,,E8,E08,E08,216.545491,57.28842361,6778.619228
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,398.6,23,23.5,18,,E9,E09,E09,302.6702063,90.33217687,13567.83256
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,349,16,25,19.5,,E10,E10,E10,173.6475275,87.13854209,10452.71186
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,601.7,24,27,21.5,,E11,E11,E11,272.4977958,111.417898,19211.7287
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,67.6,17,15.5,10,,E12,E12,E12,183.3858394,47.86316314,3795.343744
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,146.8,21,17.5,12,,E13,E13,E13,230.1223241,44.63616919,6862.743843
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,121.9,14.5,17,11.5,,E14,E14,E14,170.62846,47.53750754,5481.305384
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,195.7,17,20,14.5,,E15,E15,E15,203.4321273,70.04540006,7789.663446
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,63.2,11,16.5,11,,E16,E16,E16,170.3724071,47.11607265,3313.909328
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,128.5,10,20.5,15,,E17,E17,E17,109.455051,60.89718248,4611.623349
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,104.2,19,15,9.5,,E18,E18,E18,211.0915183,42.18801501,5479.334987
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,86.6,13,17,11.5,,E19,E19,E19,140.2851029,45.55098671,4175.631164
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,98.7,14.5,16,10.5,,E20,E20,E20,152.6629579,56.95396012,4913.998018
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,198.3,18,20,14.5,,E21,E21,E21,197.040373,57.76333896,7899.69734
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,148.3,14,20.5,15,,E22,E22,E22,218.1122931,97.33425132,5810.825825
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,96.3,16,16,10.5,,E23,E23,E23,171.544417,43.86867488,4579.05578
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,254.9,16,21.5,16,,E24,E24,E24,178.4752111,62.58105783,8448.486995
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,160,18,17.5,12,,E25,E25,E25,191.4444782,51.30886755,6704.356788
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,61.5,13,14,8.5,,E26,E26,E26,154.1576536,32.91531177,3472.024953
PURPLE PASSION CROSSED OUT - LOOKS LIKE BEAUREGARD,100.7,21,14,8.5,,E27,E27,E27,236.8973575,49.86247482,5903.96108
